UMAP1,UMAP2
11.607847,2.3074093
-3.772727,13.389684
13.817474,6.50814
13.979971,6.5743146
16.925735,9.654973
9.907729,9.919593
15.253225,8.088569
12.334388,5.519358
14.948708,6.3653116
14.900743,6.3397675
15.255124,8.102276
15.278713,8.092403
15.26284,8.076709
12.673443,5.568982
14.777859,4.137878
14.747657,4.286593
15.914055,5.5349474
14.167716,6.2863827
15.886748,5.62933
11.5930805,2.2073429
9.897489,10.07207
16.003788,5.424758
15.970114,5.57143
11.645564,2.4883115
14.88184,4.2683797
13.840188,5.5877714
13.765776,5.520015
2.4203022,-4.8106837
9.85062,6.080664
11.768834,2.4459128
14.833092,4.2344036
14.19733,5.8454156
14.855271,4.2754126
12.580796,17.40994
14.139818,5.729289
14.808084,4.2330112
11.650799,2.2737234
14.028316,5.6992774
16.088253,9.650349
16.146152,9.757784
13.99697,5.3308773
13.906198,5.262369
12.534546,17.455418
13.862024,6.4544134
13.832743,6.5610995
-3.7727685,13.38968
13.833032,4.9395027
14.09497,5.776228
14.366438,6.5528836
10.002673,10.118907
2.3424394,-4.868394
11.718193,2.0610232
11.603961,2.074696
11.775689,2.1279545
12.512213,17.477854
12.534024,17.453398
11.724584,2.3504353
9.995891,6.681729
10.025781,6.6340446
8.2434225,11.345243
14.927787,6.8139405
12.702236,17.28858
12.489158,17.501041
12.542127,17.447876
12.650605,17.339212
12.776309,17.214191
12.499205,17.490164
12.691678,17.29829
14.1299,6.9482875
14.633491,7.127841
21.638298,-0.7948081
14.699128,5.8736243
16.410471,5.869915
16.072475,5.6578126
16.251947,6.0441403
16.417078,5.7348304
11.671895,3.1175845
9.964091,6.681968
10.028632,8.334253
10.020658,6.899288
9.675621,10.194276
9.608715,10.176915
11.619845,2.7815468
16.275038,6.1168594
16.420006,5.7662516
13.843607,5.5840726
16.56735,10.017777
16.72602,10.051494
16.756954,9.99587
16.674503,10.0397625
16.806398,9.990033
16.591465,9.73372
16.660532,9.973234
13.46825,5.3859577
13.512554,5.484646
14.407796,5.937371
11.555809,2.71359
11.65508,2.7244802
11.568268,2.6311843
11.540083,2.5994365
9.712004,9.7638445
9.7301655,9.710823
9.671633,10.132077
9.686767,10.082255
9.666222,9.682111
9.737891,9.790065
9.518533,10.216775
9.744946,10.0368395
9.702958,9.728764
9.624391,9.734532
14.205541,6.902137
14.150259,6.994384
16.45439,9.178741
16.479525,9.245196
15.094397,5.771051
14.979244,5.711279
14.926598,5.6837015
10.0019045,8.486119
9.968833,8.457425
10.060979,8.366636
10.025863,8.3723955
10.016445,8.381128
10.064695,8.374708
10.060034,6.536533
8.061529,11.886676
7.905377,11.873592
8.007621,11.865559
8.023511,11.743116
8.162778,11.754094
7.9832063,12.09678
7.8772383,11.771255
7.9388323,11.743393
8.006476,11.648338
8.031635,11.662185
8.271868,11.798637
8.218919,11.771475
7.810123,11.920759
7.785935,12.018554
7.8368564,11.949631
8.314747,11.784958
8.32658,11.840389
8.34379,11.793536
14.650483,6.899903
8.186547,11.682642
14.687115,5.96668
14.857933,5.9404664
9.771056,4.820315
9.823469,4.747938
9.811323,4.8064885
9.743684,4.859803
9.710902,4.8548827
14.902842,6.329059
16.065094,6.792946
15.997566,6.7355742
16.137192,6.725416
15.971666,6.745217
15.999818,6.8306165
16.09183,6.856612
16.090574,6.804427
16.083199,6.8352575
15.650148,6.2551794
15.678599,6.1591945
14.792151,6.2764883
8.074606,11.3972
10.063577,6.7670426
16.2095,6.1063056
12.501497,17.499744
11.607671,2.2598457
16.705856,10.085053
9.816323,9.9139
16.350153,9.876614
16.285072,9.970976
11.672754,1.8512223
15.178941,6.0542517
9.882002,10.051149
12.736254,5.4658694
12.791509,5.5304914
11.619361,1.8905178
12.700753,17.290085
14.498658,7.248108
14.518122,7.241641
14.100434,6.835684
11.572786,2.181382
13.975007,5.1944966
16.521282,9.620095
14.536639,4.1993623
14.702362,6.658569
10.009934,10.1851845
16.462673,9.271217
14.888282,5.4283957
14.925185,5.5708475
15.052871,5.8984904
16.563955,9.726959
16.512337,9.696685
16.406382,9.738739
16.777443,9.816057
16.494875,9.55963
16.719036,9.8414755
16.806885,10.009932
16.602932,9.960672
15.277315,6.5387197
15.379984,6.4713206
8.030392,11.841692
7.951604,11.949388
8.104763,12.049581
8.017794,11.716433
16.795595,10.036328
16.870228,9.775923
11.707536,2.337476
11.519492,2.0047011
11.60553,1.8431394
14.660692,7.379624
11.605458,2.8385303
11.495183,2.4522092
14.568947,7.306643
14.549527,7.3035097
16.468206,9.554033
16.559237,9.568213
15.064801,3.6154568
15.086362,3.588993
9.833066,9.923108
14.25432,6.361537
14.7049465,4.0438905
10.089675,9.960604
9.96045,6.366857
9.966646,6.3973064
15.012785,3.685222
15.110986,3.5702624
15.049382,3.6308808
1.8176221,-5.220514
14.085169,5.570214
10.012065,6.485218
1.9355993,-5.21846
13.187164,5.5835495
14.656174,6.15373
15.128107,3.6270578
15.087475,3.594395
14.802732,6.056534
14.12789,5.785292
13.687394,5.677092
14.377933,5.888248
9.659671,10.141906
13.479816,5.4223585
13.179127,5.564361
13.235909,5.583282
13.265864,5.5357256
10.168838,5.452453
10.0138645,5.4158344
1.8560987,-5.251042
2.1979494,-5.21932
2.1087778,-5.108453
2.109991,-5.1857805
2.0111217,-5.1883965
2.1185446,-5.212335
2.0848324,-5.205039
2.0814617,-5.174906
1.9112239,-5.0309577
14.056157,6.3767037
13.55233,5.423254
11.903957,2.4023423
-3.7728024,13.389764
2.288344,-4.9836087
14.532647,6.2949057
14.553727,6.354115
14.57204,6.3789454
14.204159,5.71627
14.141423,5.6912255
13.549699,5.398454
13.730249,5.3883705
11.785742,2.3948128
14.350653,5.3553047
14.320475,5.3390603
14.805684,6.246409
14.998256,6.213961
14.998353,6.0382214
14.983687,6.045887
15.5549345,6.2012587
15.734192,6.1987557
15.366213,6.228678
11.855726,3.619476
2.370704,-4.9222903
2.3409338,-4.9142733
10.399033,9.8315735
15.735558,6.2977886
14.56049,6.036799
15.679798,6.175673
14.506681,5.4339623
14.374794,5.409252
14.194359,5.776374
11.843525,2.2469146
9.75383,5.988752
9.843043,5.8804092
11.964669,2.1876075
14.13625,6.4540405
16.443596,9.840112
16.480923,10.098471
15.403296,6.111333
1.466258,-5.2823257
-6.216334,7.3191752
-6.304395,7.3828344
-6.23754,7.4603086
-6.2562575,7.482075
-5.652846,7.4930735
1.1584593,-5.3128924
1.3971858,-5.3211117
-5.5645127,7.5501795
-5.5152097,7.35236
-5.4592447,7.3879333
-5.43249,7.4564953
-5.4685674,7.550028
-5.66095,7.566243
-5.4814296,7.3801847
-5.624359,7.518276
1.0548849,-5.278845
-6.2000995,7.3269553
-5.620132,7.4937415
-6.32448,7.51834
1.0693637,-5.272847
1.2544833,-5.292015
1.0557685,-5.2959747
-6.1697936,7.3520308
-6.107155,7.228865
-6.3122005,7.427632
-6.1470594,7.3065767
-6.1257396,7.433627
-5.4991765,7.531286
-5.4618945,7.547385
1.0432432,-5.2873373
1.1220028,-5.426563
1.3679395,-5.308973
0.9163648,-5.1239624
1.4858916,-5.261079
1.0770001,-5.2866807
-6.335181,7.396406
-5.51912,7.354148
8.535951,-5.778924
8.01019,-5.340102
8.524576,-5.748388
8.519587,-5.7362666
8.541176,-5.7721305
8.499266,-5.7167954
8.519514,-5.7283306
8.440129,-5.560485
8.197625,-5.4882207
8.027067,-5.391987
8.056089,-5.356715
8.247294,-5.537494
7.9509435,-5.316129
8.043336,-5.3838196
8.427037,-5.517512
7.96785,-5.3074293
8.051196,-5.4514194
8.467088,-5.639263
14.474755,5.7590814
8.355602,-5.478761
8.509836,-5.6417537
13.439034,4.793687
13.38438,4.7411146
13.464614,4.759438
13.842301,6.6630573
2.0252805,-5.139042
13.418442,4.7892637
21.606586,-0.76247036
21.589262,-0.7455804
21.59938,-0.7557586
21.57968,-0.7362339
21.587265,-0.7436444
21.562214,-0.7185616
13.407914,4.7440314
8.103468,-5.4355993
21.550589,-0.70688164
8.264044,-5.818097
8.454032,-5.6686335
9.844261,5.52051
9.797082,5.586017
