lig_code,smiles,inchikey,chembl_id,er_action
OB8,CCN(c1ccc2ccccc2c1)S(=O)(=O)C3CC4C(=C(C3O4)c5ccc(cc5)O)c6ccc(cc6)O,,,unknown
OB9,c1ccc(cc1)N(CC(F)(F)F)S(=O)(=O)C2CC3C(=C(C2O3)c4ccc(cc4)O)c5ccc(cc5)O,,,unknown
OBB,c1cc(cc(c1)Br)OS(=O)(=O)C2CC3C(=C(C2O3)c4ccc(cc4)O)c5ccc(cc5)O,,CHEMBL2108758,unknown
OBC,c1ccc(c(c1)OS(=O)(=O)C2CC3C(=C(C2O3)c4ccc(cc4)O)c5ccc(cc5)O)F,,,unknown
OBH,c1cc(ccc1C2=C(C3C(CC2O3)S(=O)(=O)OC4C=CCC=C4)c5ccc(cc5)O)O,,CHEMBL1807754,unknown
OBM,c1cc(ccc1C2=C(C3C(CC2O3)S(=O)(=O)Oc4ccc(cc4)Br)c5ccc(cc5)O)O,,,unknown
OBT,c1cc(ccc1C2=C(C3C(CC2O3)S(=O)(=O)N(CC(F)(F)F)c4ccc(cc4)Cl)c5ccc(cc5)O)O,,CHEMBL449423,unknown
ODE,CCOC(=O)C1C(C2C(=C(C1O2)c3ccc(cc3)O)c4ccc(cc4)O)C(=O)OCC,,CHEMBL485,unknown
ODY,CC1=C(C(Oc2c1cccc2O)c3ccc(cc3)OCCN4CC(C4)CF)c5cccc(c5)O,,CHEMBL942,unknown
OFB,c1cc(cc(c1)F)OS(=O)(=O)C2CC3C(=C(C2O3)c4ccc(cc4)O)c5ccc(cc5)O,,,unknown
OGJ,CC1=C(C(Oc2c1cc(cc2)O)c3ccc(cc3)OCCN4CC(C4)CF)c5cccc(c5)O,,,unknown
OHT,CCC(=C(c1ccc(cc1)O)c2ccc(cc2)OCCN(C)C)c3ccccc3,,CHEMBL489,agonist
PIQ,Cn1c2cc(cnc2nc1N)c3ccccc3,,CHEMBL1192678,unknown
PTI,c1ccc(cc1)N2CCc3cc(ccc3C2c4ccc(cc4)OCCN5CCCCC5)O,,CHEMBL493,unknown
Q97,CCC(=C(c1ccc(cc1)O)c2ccc(cc2)OCC)c3ccc(cc3)O,,,unknown
QHG,CC(C)CN1CCc2cc(ccc2C1c3ccc(cc3)C=CC(=O)O)O,,,unknown
QNE,CC1Cc2c(ccc3c2c[nH]n3)C(N1CC4(CC4)F)c5ccc(cc5OC)NC6CN(C6)CCCF,,CHEMBL1253443,unknown
QNH,CCCN1CC(C1)Nc2ccc(nc2)C3c4ccc5c(c4CC(N3CC(F)(F)F)C)cn[nH]5,,,unknown
QNK,CC1Cc2c(ccc3c2c[nH]n3)C(N1CC4(CC4)F)c5ccc(cn5)NC6CN(C6)CCCF,,CHEMBL1651739,unknown
QSO,COc1ccc(cc1)C2=COc3cc(cc(c3C2=O)O)O,,,unknown
QYM,CC12CC(C3c4ccc(cc4CCC3C1CCC2O)O)c5ccc(cc5)OCCN(C)C,,,unknown
R3V,CC1CCN(C1)CCOc2ccc(cc2)C3c4ccc(cc4CCC3c5ccccc5)O,,,unknown
RAL,c1cc(ccc1c2c(c3ccc(cc3s2)O)C(=O)c4ccc(cc4)OCCN5CCCCC5)O,,CHEMBL81,modulator
RL4,CC1CCCN1CCOc2ccc(cc2)C3c4ccc(cc4CCC3c5ccccc5)O,,CHEMBL2105377,unknown
SCH,CSSCC(C(=O)O)N,,CHEMBL62,unknown
STL,c1cc(ccc1C=Cc2cc(cc(c2)O)O)O,,CHEMBL2108623,unknown
T3O,CC1=CCC2CC1C(OC2(C)C)c3ccc(cc3)O,,,unknown
TPO,CC(C(C(=O)O)N)OP(=O)(O)O,,CHEMBL326632,unknown
TQF,CCN1CC(C1)Oc2ccc(cc2)C3c4ccc(cc4CC5(N3C(=O)c6ccccc6)CC5)O,,,unknown
TS7,CCCN1CC(C1)Oc2ccc(cc2)C3c4ccc(cc4CC5(N3C(=O)c6ccccc6)CC5)O,,CHEMBL4297913,unknown
TT5,c1ccc(cc1)C(=O)N2C(c3ccc(cc3CC24CC4)O)c5ccc(cc5)OCCN6CCCCC6,,,unknown
TTU,CCN1CCC(C1)Oc2ccc(cc2)C3c4ccc(cc4CC5(N3C(=O)c6ccccc6)CC5)O,,CHEMBL443876,unknown
TU9,CCN1CCC(C1)COc2ccc(cc2)C3c4ccc(cc4CC5(N3C(=O)c6ccccc6)CC5)O,,,unknown
TV3,CCCN1CCC(C1)COc2ccc(cc2)C3c4ccc(cc4CC5(N3C(=O)c6ccccc6)CC5)O,,,unknown
TVF,CC1CCN(C1)CCOc2ccc(cc2)C3c4ccc(cc4CC5(N3C(=O)c6ccccc6)CC5)O,,,unknown
TVL,CC1CCCN1CCOc2ccc(cc2)C3c4ccc(cc4CC5(N3C(=O)c6ccccc6)CC5)O,,CHEMBL593187,unknown
TVX,CN(C)CCOc1ccc(cc1)C2c3ccc(cc3CC4(N2C(=O)c5ccccc5)CC4)O,,CHEMBL1451633,unknown
TW6,CNCCOc1ccc(cc1)C2c3ccc(cc3CC4(N2C(=O)c5ccccc5)CC4)O,,,unknown
TWF,CCNCCOc1ccc(cc1)C2c3ccc(cc3CC4(N2C(=O)c5ccccc5)CC4)O,,,unknown
TX9,CCCCCN1CCC(C1)COc2ccc(cc2)C3c4ccc(cc4CC5(N3C(=O)c6ccccc6)CC5)O,,CHEMBL6068046,unknown
TXK,CCCN1CCC(C1)CCc2ccc(cc2)C3c4ccc(cc4CC5(N3C(=O)c6ccccc6)CC5)O,,,unknown
TZ3,CCCN1CCC(C1)CSc2ccc(cc2)C3c4ccc(cc4CC5(N3C(=O)c6ccccc6)CC5)O,,CHEMBL4650444,unknown
TZI,c1ccc(cc1)C(=O)N2C(c3ccc(cc3CC24CC4)O)c5ccc(cc5)OCC6CCN(C6)CCCF,,CHEMBL507823,unknown
U6D,CC1Cc2c3ccccc3[nH]c2C(N1CC(C)(C)F)c4c(cc(cc4F)OCCN5CC(C5)CF)F,,,unknown
V9J,c1cc(ccc1c2c3ccc(cc3sc2Oc4ccc(cc4)O)O)F,,,unknown
VQI,Cc1cc2c(cc1O)CCN(C2c3ccc(cc3)C=CC(=O)O)CC(C)C,,,unknown
WST,c1cc(c2c(c1)OC(C3C2CCC3)c4ccc(cc4)O)O,,CHEMBL9967,agonist
WVE,c1cc(c(cc1O)Cl)C2C3CCCC3c4cc(ccc4N2)S(=O)(=O)N,,CHEMBL1118,unknown
WVR,c1cc(ccc1C2C3CCCC3c4cc(ccc4N2)S(=O)(=O)N)O,,,unknown
WVW,c1cc(ccc1C2C3CCCC3c4cc(ccc4N2)S(=O)(=O)N)O,,,unknown
XBR,c1ccc2c(c1)c3c([nH]2)C(N(CC3)CCC(=O)O)c4ccc(cc4)Cl,,CHEMBL1200638,agonist
XDH,CC(C)(c1cc(c(c(c1)Cl)O)Cl)c2cc(c(c(c2)Cl)O)Cl,,,unknown
YCM,C(C(C(=O)O)N)SCC(=O)N,,CHEMBL569677,unknown
ZER,CC1CCCC(=O)CCCC=Cc2cc(cc(c2C(=O)O1)O)O,,CHEMBL77131,unknown
ZN,[Zn+2],,CHEMBL110,unknown
ZNM,CC1Cc2c3ccccc3[nH]c2C(N1CC(CO)(F)F)c4c(cc(cc4F)NC5CN(C5)CCCF)F,,,unknown
ZTW,c1cc(ccc1c2cc3ccc(cc3s2)O)O,,,unknown
