TSNE1,TSNE2
-20.786003,0.15503879
9.627531,-16.388323
1.3982493,-9.442514
1.5279442,-8.087825
-10.745459,-3.5268464
-18.850018,15.458796
4.6887317,8.165566
-1.2261496,9.630044
2.5658062,-3.003447
5.0422063,3.9546864
4.688564,8.164658
4.6874204,8.162537
4.687236,8.162558
-1.2171264,9.521567
-9.432017,2.321757
-9.268799,2.1995487
9.328874,6.4168277
5.5731316,-4.658417
9.337206,6.4283786
-21.425392,-1.9515334
-18.251549,15.8344345
9.596299,6.996111
9.229552,6.206871
-20.249144,-0.5334547
-11.549656,1.1119084
-2.6528761,4.002144
-2.7197773,4.054619
18.366056,-12.245826
-7.611666,12.922074
-19.946964,-0.8072412
-11.52137,1.1202549
0.058495287,1.1508234
-11.569161,1.0947454
11.18241,-4.48172
8.693781,1.2123529
-11.566098,1.0874751
-20.943508,-0.46248055
8.703082,1.2089713
-6.8002343,-0.73862445
-6.8129444,-0.8274729
-0.37035027,-14.966859
-0.37049028,-14.968443
9.932357,-3.5436451
1.3929893,-9.441315
1.4101521,-9.44497
9.628617,-16.388334
-19.6335,-2.1842113
1.1033751,1.4449906
5.5744925,-4.65497
-17.522179,14.180977
18.449608,-12.35714
-21.975384,0.4503815
-22.322617,0.5830743
-21.19535,-0.71381634
10.484505,-3.3545156
9.557052,-3.4908102
-20.860582,0.0855723
-10.368527,16.143066
-10.31801,15.98906
-16.013453,18.655033
2.5697432,-4.7223334
9.421619,-4.70773
9.916038,-3.128649
9.719471,-3.2894099
9.122532,-4.6035023
9.601073,-5.1263256
9.62209,-3.126781
8.985984,-4.5855565
4.671124,-8.098441
9.130838,-9.62164
-10.206186,-13.00424
0.85365045,-0.0065345424
-13.4847555,6.9516644
8.916593,5.5489335
-11.923882,6.167116
-14.16712,7.327344
-18.27793,3.2743514
-10.362458,16.287647
-9.478993,19.54642
-11.486466,16.814985
-15.208157,14.358371
-15.197501,14.336971
-18.848454,1.7006775
-11.873976,6.1861634
-14.212583,7.3581433
-1.7569059,3.2780795
-8.889016,-5.684093
-8.733199,-4.677893
-8.858946,-3.9598217
-8.116676,-4.341145
-9.080285,-4.526667
-7.466419,-3.974699
-8.459673,-3.8478134
1.447395,4.3296638
0.53239954,3.595
2.8443391,2.6237302
-19.568808,1.0210273
-17.260197,0.23213841
-17.203817,0.18798041
-19.35426,0.54261637
-19.759987,16.811455
-19.759989,16.811453
-18.231115,16.970541
-18.129238,17.004562
-20.102856,16.79001
-19.598183,17.297672
-17.189373,17.646444
-18.047422,17.043924
-19.748533,17.46514
-19.72838,18.024136
4.220407,-7.5861907
4.2941756,-7.603396
-12.274643,-7.068359
-12.267472,-7.0626717
-4.0921364,-2.0837665
-4.1005073,-2.0931897
-4.1512265,-2.1373124
-8.298835,21.291107
-8.259167,21.350681
-8.070587,21.239979
-8.268758,20.464512
-8.148512,20.47443
-8.244215,20.360216
-11.299151,14.709461
-15.846671,23.077938
-16.361187,22.80323
-16.12934,22.637098
-16.239574,22.011024
-16.730862,22.306341
-14.026645,20.221548
-16.022535,20.93036
-16.639748,21.4973
-16.77153,21.80891
-16.993164,21.213985
-17.37853,21.740705
-17.432516,22.494625
-14.5479555,21.743332
-14.488096,21.739422
-14.569645,21.744362
-17.746775,21.689686
-17.924618,22.228651
-18.313332,22.647087
3.4491842,-5.6914926
-17.000238,22.417973
5.8495793,1.1512785
5.821984,1.1421454
-2.3915558,12.900337
-2.6316822,12.601513
-2.5715733,12.112279
-2.8013124,12.68452
-2.7576625,12.619182
5.05356,3.960517
-1.6115751,-4.531213
-1.0734391,-4.053026
-0.5849226,-4.3547063
-0.3891963,-3.283884
-0.3745563,-3.2492416
-1.0651025,-3.4352233
-1.502624,-3.2856035
0.083611846,-3.9960158
-1.0666019,-2.6297925
-1.5555212,-2.494283
4.623241,3.7670276
-15.900935,18.661142
-11.630759,16.949062
-11.868278,6.1887093
10.359849,-3.759379
-21.111916,-0.08908548
-7.874465,-5.1604495
-19.722607,15.667135
-14.252612,-2.0607822
-14.295337,-2.0249362
-23.741587,0.6788315
2.2646213,-1.56427
-18.387203,15.916116
-1.9333392,9.360005
-1.9105504,9.351442
-23.562145,0.6322841
9.273178,-4.668451
8.763406,-10.48272
9.010282,-9.279823
5.5806966,-8.412949
-20.058306,-1.6671492
-0.36899623,-14.964914
-8.921994,-2.9971464
-9.96258,3.0498936
5.727871,-8.466777
-17.31515,13.576568
-12.272789,-7.061742
-4.8548856,0.98163164
-4.7595234,0.9216545
-3.8969605,0.37297252
-6.9961586,-3.1361544
-7.721447,-2.7431617
-7.844078,-3.2437508
-7.016242,-3.5251746
-7.566646,-3.1375504
-7.433891,-4.8727326
-7.4078016,-4.38943
-8.039827,-3.8704274
-3.4391177,-6.561662
-3.4385233,-6.560421
-17.198746,23.408518
-16.761349,23.50682
-14.023702,20.114382
-16.090672,21.619316
-8.2469635,-4.8233
-9.470964,-3.770467
-21.451433,-0.22527142
-22.953463,-0.4138679
-23.589643,0.5979574
9.782913,-10.852669
-18.846497,1.699342
-20.188055,0.7728822
9.209771,-10.110284
9.163011,-10.359301
-8.387009,-2.678217
-8.513372,-3.2208145
-6.4461293,4.2863727
-6.4442744,4.283625
-18.30869,15.856719
0.90599966,-6.6254544
-9.486482,2.417137
-19.359266,13.919154
-10.877544,14.445395
-10.877623,14.445759
-6.214717,3.3860524
-6.8050117,4.5690393
-6.2167506,3.385278
23.338644,-14.937827
-0.805639,2.3307958
-9.149782,15.832651
23.45734,-16.523783
0.4259797,6.742698
-2.2163537,-0.447705
-6.865728,4.086365
-6.7663946,4.2086844
-2.0399084,0.98775476
0.21675788,2.0300047
0.2596888,2.6663096
1.9778413,0.67724675
-17.106245,16.200308
0.7188312,3.5905745
0.0916779,5.545193
0.4795066,5.6837544
0.42209238,5.5896688
-4.6698155,8.188644
-4.6706343,8.190357
24.21476,-17.572594
21.926764,-16.496376
22.260252,-15.963063
22.16924,-15.713419
22.83964,-16.89964
22.416464,-16.298065
22.250109,-16.48211
21.52038,-16.630316
22.746296,-17.608742
0.54697025,-7.1170692
0.43193486,3.55259
-21.373693,1.7121103
9.628483,-16.38829
19.998253,-14.164671
4.0278687,-12.197465
4.0330625,-12.20937
3.9487467,-12.116179
2.6697648,0.30591938
2.525233,0.3576757
0.77320266,3.1467426
0.984151,2.8406901
-21.245026,0.8864788
4.9623203,-1.6233046
4.9289722,-1.6294568
-0.9401261,-1.0814176
0.092088975,-1.5933156
-0.28456143,-1.3741016
0.032735024,-1.035161
-1.4367372,-1.9164176
-1.1566236,-1.8575824
-0.65357864,-1.9480695
-17.750507,4.1851554
19.32438,-13.359362
19.424051,-13.476473
-19.564144,13.494503
-0.584369,-2.5740697
-0.6212362,-0.862914
-0.3792631,-2.2221916
4.9740405,-1.637509
4.188395,-0.65165204
2.9909678,1.2937714
-22.050764,-1.080647
-7.5986958,12.9177065
-7.5907855,12.91094
-22.050848,-1.0805498
1.0210073,-7.2508464
-6.3628454,-4.0405226
-6.6427374,-4.5633516
0.4966954,-1.8060946
25.014374,-15.980502
37.670895,-13.542935
36.515026,-14.853114
35.78434,-15.227838
35.921646,-14.5173235
35.15994,-13.476381
25.973282,-15.272014
24.677643,-15.209316
34.815414,-13.179038
33.82514,-14.083658
33.496624,-13.8371105
34.094086,-12.623662
34.59012,-12.629401
35.115223,-12.917876
33.90542,-14.520325
34.763855,-13.828529
26.269768,-14.030755
37.288536,-13.112667
34.72262,-13.811658
35.764965,-14.728244
26.338995,-14.376261
25.406874,-15.055656
26.332098,-14.688398
36.712162,-12.948481
36.92784,-13.968913
37.089294,-14.427119
36.42837,-13.635661
36.2994,-13.444052
34.27214,-13.281291
33.88845,-13.117046
26.757204,-14.4484215
26.312767,-15.456485
25.085667,-15.440551
25.866226,-14.229081
24.639175,-15.42092
25.962658,-14.65896
36.091846,-14.256188
34.24327,-14.461939
19.658148,-3.7226918
19.354446,-5.589567
19.847477,-3.5282493
20.836014,-3.8296769
20.189548,-3.7580304
20.945507,-4.4627595
20.513329,-3.7623928
21.189457,-2.2935314
20.641863,-5.4401464
18.796106,-4.887086
19.119709,-4.5569253
20.375227,-5.5757036
18.942041,-5.306542
19.527035,-5.371424
21.5697,-2.101488
19.497702,-4.957334
19.86962,-4.750297
20.369091,-4.2758923
-0.7962631,0.48353994
21.050098,-4.5701985
21.370537,-2.2875814
-2.8428736,-10.378278
-2.047639,-10.913395
-2.7131174,-10.770468
2.5816867,-10.302198
23.007015,-16.31186
-2.8663273,-10.442178
-10.217671,-13.124299
-10.286018,-13.340478
-10.8243685,-13.16572
-9.924042,-13.54966
-9.813274,-13.433294
-9.108627,-13.6783495
-2.8432336,-10.378643
20.246422,-5.1061835
-10.5007105,-13.360065
18.936684,-2.4364018
20.48407,-2.4683955
-0.4280251,14.669624
-0.43062282,14.097621
0.4004565,14.175351
-0.0064056613,13.413507
0.89831907,13.764405
1.3721254,14.119367
0.7648811,14.608911
-0.049779136,13.837967
0.025648776,15.001628
0.356552,14.884392
0.046031717,14.418037
1.1154087,14.304288
0.8079387,15.277748
1.5594976,14.9478445
1.3046873,13.615294
-6.4776587,-8.980235
-6.4776917,-8.980226
-6.4604654,-8.964657
-6.460315,-8.964536
1.3428098,-2.639622
1.1248677,-1.7743183
0.7449555,-3.5074859
1.0145286,-1.108627
0.16418886,-3.4517395
0.14901984,-2.3370504
0.5278572,-2.8446624
0.5699115,-2.8486903
-17.435507,4.530824
0.8543776,13.045532
0.47112912,13.541804
