UMAP1,UMAP2
12.544377,11.355604
12.958506,11.473419
10.58856,7.4146366
10.661693,4.478942
10.547234,3.5046208
9.012056,6.3141756
11.004485,8.664611
10.256115,8.352839
10.852978,4.4565434
11.031139,4.380464
11.077204,8.733961
11.079382,8.858727
11.059193,8.848365
10.023765,8.4353485
10.902646,8.53133
10.989035,8.704025
11.168526,9.642297
10.692417,7.4149146
11.241799,9.708443
12.800024,11.109478
9.19434,5.9247923
11.239823,9.680502
11.242569,9.726488
12.547248,11.563307
11.498918,9.625164
10.570191,7.5969424
9.662778,6.9933786
8.063938,6.0995
10.41901,8.383894
12.630043,11.384551
11.5046625,9.605798
13.870661,6.5989814
11.289199,9.456538
11.205093,2.1916447
10.955407,2.2024133
11.469899,9.612754
12.395808,11.649295
10.971319,2.3064775
13.736429,5.328271
13.840689,5.2425613
10.95737,5.075402
11.081456,5.1710725
11.178638,2.0149632
10.514057,7.524602
10.620631,7.4648433
7.5597267,4.084451
12.800873,11.322977
7.906466,6.301509
10.584851,6.965648
9.123459,5.5008698
8.08154,6.0832057
12.685537,11.214264
12.806035,11.210464
12.713256,11.307243
11.038428,2.1523728
11.110832,1.9681283
12.628787,11.140204
9.589727,4.8539104
9.712839,4.821363
9.155999,5.0060124
11.019677,4.314168
10.92215,1.7718083
11.182428,2.0475774
11.158321,2.0257623
11.042937,1.8258647
10.949477,1.8359544
11.216528,2.0672474
10.973734,1.8201149
10.691884,3.5422637
10.876633,3.9976118
13.852795,12.198815
12.748436,10.760057
8.385403,5.706532
8.19282,5.3254695
11.719619,10.267277
8.316329,5.488686
9.474049,4.9856653
10.001837,4.184208
10.190632,4.1838136
8.851622,5.0168223
10.041369,4.4841475
10.397018,4.1224155
11.582352,11.360105
11.604094,10.074419
8.288831,5.454054
10.709712,7.538221
14.27275,4.9749827
14.290685,4.8909326
14.007816,4.6713414
14.02054,4.5259542
14.325596,4.9502664
14.175666,4.8606668
14.033868,4.6791472
8.905273,7.8156486
8.672302,7.889696
9.098646,7.015507
11.769556,11.447559
