UMAP1,UMAP2
14.28753,11.717059
14.508128,11.557796
12.687644,6.011774
14.2803755,4.852607
14.3230505,4.0822296
13.32409,6.8328342
12.421222,9.172715
11.486609,8.348951
14.446796,4.781733
14.658613,4.7228913
12.421457,9.238575
12.523761,9.321269
12.5304,9.316049
11.343222,8.252754
12.35071,9.094819
12.426255,9.196554
12.87236,9.909139
12.671409,5.9573526
12.956017,9.958643
14.599126,11.768053
13.712778,6.5397367
12.925035,9.9213085
12.940114,9.973814
14.235775,11.856155
13.113205,9.817279
12.810759,6.19895
12.997573,6.3600245
13.947816,7.3675737
11.613433,8.5427475
14.479415,11.753497
13.1986065,9.82029
18.421516,3.9860868
12.923531,9.78597
13.2558775,3.2512085
13.633485,3.0626125
13.142018,9.883842
14.058716,11.7512
13.72718,3.1874719
17.151192,3.8606484
17.077171,3.725715
13.619355,4.8674483
13.369576,4.7453012
13.18181,3.0891027
12.583549,6.128712
12.530914,6.0126233
15.077497,8.7322445
14.580204,11.684904
13.657838,7.6739645
13.000347,5.7014165
14.203861,6.654304
13.87755,7.355507
14.490162,11.556788
14.481729,11.417466
14.377056,11.5369005
13.225059,3.1576412
13.237725,3.057664
14.613546,11.786874
14.837806,6.3140054
14.868391,6.247598
14.51277,6.197512
14.681435,4.589469
13.352529,2.8283615
13.161861,3.1094892
13.1772175,3.1221619
13.317734,2.8399491
13.342347,2.9209685
13.218532,3.0750594
13.337601,2.7970803
14.439209,4.0785327
14.962317,4.592031
12.306323,12.402945
15.024217,6.40099
14.196325,7.140412
14.479995,7.5116425
14.272705,9.910556
14.368602,7.254588
14.787439,6.505614
14.919788,6.144198
14.512806,5.151058
14.72375,6.6219172
14.849241,5.294775
14.89613,4.930818
13.402416,11.856841
14.237188,9.775358
14.422498,7.2665753
12.700556,5.8891854
16.984577,3.3715696
16.91006,3.43462
16.613665,3.445973
16.536364,3.3334837
16.930643,3.5370767
17.084763,3.487851
16.693604,3.453081
11.587471,7.2564883
11.433139,7.0148687
12.391034,6.8111625
13.571938,11.936969
13.416628,11.848055
13.503916,11.891196
13.466211,11.855482
13.9938755,6.409949
13.881606,6.484174
14.241873,6.196999
14.564864,6.295951
13.973395,6.384503
14.102429,6.3289437
14.4375,6.0951114
14.321116,6.139937
14.175141,6.281093
14.282763,6.141246
14.497989,4.1053953
14.525781,4.016292
14.691951,4.124299
14.607898,3.9826164
16.208147,3.614996
16.281767,3.6329207
16.318523,3.615424
14.56468,5.794527
14.53936,5.848412
14.552723,5.894841
14.573328,5.6779513
14.524768,5.671899
14.554295,5.6303043
14.849177,8.415056
14.763145,8.5008955
14.749871,8.456364
14.892636,8.562655
15.15085,8.79263
15.1123,8.680711
15.397661,8.5186
15.09469,8.77259
15.305117,8.393643
15.270564,8.318512
15.31248,8.389236
15.189396,8.4387455
15.205883,8.6906395
15.085663,8.801396
15.183808,8.942178
15.025721,8.785931
15.291605,8.3607
15.342855,8.222132
15.157956,8.882787
14.465665,3.9144514
15.227079,8.573468
14.143285,5.057937
13.955702,4.9075685
12.067599,7.1737647
12.053633,7.2075977
12.202313,7.004688
12.01645,7.2998037
12.083821,7.183015
17.941143,3.1537917
17.37917,3.3738053
17.97939,3.4383073
17.954046,3.447363
18.359245,3.3047028
18.34407,3.2711585
18.246195,3.3898509
18.286158,3.399975
18.390158,3.3220544
18.646702,3.8148143
18.559755,3.7544038
14.407291,4.522501
14.490371,6.3768272
5.686927,14.796782
14.386086,9.641952
13.315115,3.2580907
14.6408,11.735157
17.03279,3.5128193
15.339799,8.499352
14.375425,3.8572896
13.483972,11.975609
14.548373,11.705493
14.530199,10.990196
13.85096,6.6275015
12.186891,6.9971185
12.217277,7.005895
14.524047,11.807836
13.251469,2.7235668
14.912978,4.6450896
14.880994,4.5849895
14.452904,4.5388637
14.693463,11.79463
13.35478,4.55309
16.361176,3.14804
14.384034,7.043368
14.638233,4.201264
14.347815,4.90779
14.728427,4.132953
14.679689,4.073838
14.486663,3.862366
14.494211,3.9290645
16.18327,3.2666252
16.387564,3.2279413
16.446432,3.308822
16.146286,3.1162033
16.369473,3.10905
16.181551,3.140858
16.164274,3.1109996
16.190804,3.1886032
15.727919,3.794629
15.781715,3.729045
14.922832,8.171369
14.740178,8.208634
15.200696,8.507207
15.319287,8.445068
16.716919,3.4124935
16.744223,3.4932935
14.407695,11.698989
14.551819,11.537424
14.562067,11.796947
14.3821535,11.595213
13.427908,11.882461
13.528831,11.847788
14.961684,4.718488
14.793526,4.760999
16.259083,3.2225764
16.3503,3.2663329
12.0571575,8.987703
12.032446,8.981886
13.6764765,6.5398083
12.410747,6.563864
12.246926,8.921481
13.281681,6.582788
14.406584,6.6979184
14.519377,6.85213
12.0475235,9.064814
12.16818,9.070216
12.005343,9.073745
5.9271293,14.751467
6.1606193,14.653662
6.2289653,14.732437
6.056514,14.806157
11.828749,7.3382845
