pdb,radius,compactness,openness,n_pocket_res,PC1,PC2,PC3
5dvv.pdb,6.369292736053467,1.4318495988845823,7.933183193206787,15,-0.2359477780593767,0.6933452256163968,-0.020143926364602903
5dwe.pdb,6.572049140930176,1.395635724067688,7.975123882293701,16,0.16448819485854493,0.9652899911473467,0.11440027370647636
5dwg.pdb,6.525413513183594,1.4373295307159424,7.987387180328369,16,0.01162139801296356,1.027080019251436,0.0953451288963242
5dwi.pdb,6.34080171585083,1.3997353315353394,7.832607746124268,14,-0.23721610645583413,0.2207339121090212,0.09642449525951509
5dwj.pdb,6.409289836883545,1.4289830923080444,7.874484062194824,14,-0.17741353752154126,0.469155733486477,0.1556607481634967
5dx3.pdb,6.405263423919678,1.3835136890411377,7.823680400848389,13,-0.10481219572354236,0.20894352319630496,0.178106809378411
5dxb.pdb,5.2333574295043945,1.8215285539627075,7.483471393585205,11,-2.8808171929208783,-1.5545459798608654,0.006993402909038691
5dxe.pdb,6.157710552215576,1.2099227905273438,7.961720943450928,10,-0.13672626395169715,0.4640838655629423,-0.7672786671845161
5dxg.pdb,4.62313175201416,1.732515811920166,7.21398401260376,10,-3.7277861186329404,-3.1666220368846667,-0.44048872200194006
5dxk.pdb,6.315942764282227,1.3795654773712158,7.977506637573242,13,-0.2113184089901611,0.7953776844657225,-0.2807200306161866
5dxm.pdb,6.290250778198242,1.3479106426239014,7.92946195602417,13,-0.19948860900408705,0.5461570849438465,-0.27060914903279437
5dxp.pdb,6.417163372039795,1.395857572555542,7.973874568939209,15,-0.08256637884171823,0.8607697306742588,-0.10149761417330333
5dxq.pdb,6.248456954956055,1.3677287101745603,7.933348655700684,13,-0.3037254261383278,0.5547450929284624,-0.30329664254001143
5dxr.pdb,6.397082328796387,1.4139635562896729,7.966577529907227,14,-0.1509700137980985,0.8345726041375338,-0.0828068645152132
5dy8.pdb,6.552388668060303,1.4232258796691897,7.984487533569336,16,0.08137499920151414,1.0186281202350336,0.1149782487958102
5dyb.pdb,6.429595470428467,1.4278517961502075,7.9541707038879395,15,-0.1284485741269806,0.8165839151883295,0.013676593247661527
5dyd.pdb,6.412360191345215,1.428214192390442,7.92733907699585,15,-0.16144143019332077,0.6929039866554514,0.04675466971019854
5dz0.pdb,6.429160118103027,1.4186666011810305,7.946916103363037,15,-0.11263501922326496,0.7769258258773056,0.012376429802920816
5dz1.pdb,6.392549991607666,1.4403692483901978,7.98696231842041,15,-0.20571766012665427,0.9428853405886458,-0.08624786375645146
5dz3.pdb,6.395689010620117,1.4139728546142578,7.972478866577148,15,-0.15213321915257424,0.8585309378940785,-0.09725419470583192
5dzh.pdb,6.327362537384033,1.4361789226531982,7.855710506439209,15,-0.3251173928552138,0.3444262702071509,0.0921727518717817
5dzi.pdb,6.380700588226318,1.3961411714553833,7.947733402252197,14,-0.14586871878866153,0.7275720678962141,-0.09719699483148614
5e0w.pdb,6.217166900634766,1.3905032873153689,7.747432708740234,14,-0.43144758904283753,-0.22613300893054353,0.08587123065663106
5e0x.pdb,6.254303455352783,1.391173243522644,7.764591693878174,14,-0.3705543873355336,-0.1293995919774898,0.10320537070921207
5e14.pdb,6.245685577392578,1.3755923509597778,7.703975677490234,14,-0.3650351184433436,-0.40511418015176487,0.1921428115780858
5e15.pdb,6.2310471534729,1.3706611394882202,7.612161636352539,14,-0.39542235933529746,-0.805790942291921,0.35722375847044835
5e19.pdb,6.380496501922607,1.398810863494873,7.960570812225342,14,-0.14904312341444104,0.7840541566443935,-0.12000120973939178
5e1c.pdb,6.46319055557251,1.3512177467346191,7.966598987579346,14,0.0759545220505045,0.8167525169436796,-0.09900822139205452
5egv.pdb,6.393131732940674,1.4597688913345337,7.918092727661133,15,-0.25493886136483734,0.6719870047873182,0.09426876125920285
5ehj.pdb,6.5434980392456055,1.4533300399780271,7.9455060958862305,16,0.0017396518016876373,0.8777722139656018,0.23752531208849928
5ei1.pdb,6.490323066711426,1.427438497543335,7.989871501922607,15,-0.024557787100268166,1.005486093006476,0.02320829036770803
5eit.pdb,6.40268087387085,1.4172340631484983,7.863067150115967,14,-0.16720189116225506,0.40554296379109944,0.1499682130640229
5fqp.pdb,6.665560245513916,0.942174792289734,7.818227767944336,7,1.1646715151044644,-0.07145145741456249,-0.21331797178663128
5fqr.pdb,6.772450923919678,1.0009400844573977,7.945043563842773,8,1.2437101065472442,0.5876225741349643,-0.22807203278433555
5fqs.pdb,6.788124561309815,0.9225980043411256,7.933274269104004,7,1.4185244804928296,0.472767766593155,-0.31784185642467044
5fqt.pdb,6.699527740478516,0.9782508015632628,7.758546352386475,7,1.1378703009927271,-0.26618206861049915,0.024065383489988875
5fqv.pdb,6.856827735900879,0.9975347518920898,7.972559452056885,8,1.389542697347902,0.754376705099187,-0.1730096937862076
5gs4.pdb,5.997262477874756,1.238474726676941,7.654221534729004,12,-0.5032008817250753,-0.906044853705822,-0.29317103753792423
5gtr.pdb,6.450999736785889,1.2448365688323977,7.940847873687744,15,0.2583106213922228,0.59816295723916,-0.24753905363659298
5hyr.pdb,6.268877983093262,1.3614739179611206,7.926706314086914,13,-0.26030794029267873,0.5338787689191034,-0.2712940463813293
5jmm.pdb,5.843361854553223,1.8066736459732056,7.956080436706543,15,-1.7957766277814424,0.812585339797034,-0.15730809043489302
5kcc.pdb,6.2971296310424805,1.3693807125091553,7.787370204925537,14,-0.2560029700343976,-0.026965449796605524,0.07744851091951448
5kcd.pdb,6.361325263977051,1.3817410469055176,7.8632073402404785,14,-0.16409474361907184,0.345424909566097,0.02921890376173755
5kce.pdb,4.673605918884277,1.7552881240844729,7.423315525054932,10,-3.6536745355695115,-2.231024326014341,-0.772556757952718
5kcf.pdb,5.95807409286499,1.359394669532776,7.862138271331787,12,-0.7624323480976596,0.060439774898244945,-0.5775445455297392
5kct.pdb,6.309781551361084,1.36661696434021,7.907399654388428,13,-0.2087219943493795,0.4838171497551182,-0.16361808924871177
5kcu.pdb,6.202991008758545,1.3472468852996826,7.958234786987305,12,-0.3317926617729108,0.6106082847034315,-0.4560268005923853
5kcw.pdb,4.6885271072387695,1.7757281064987185,7.691896438598633,10,-3.620839487558486,-1.0710681343067934,-1.2843936682151018
5kd9.pdb,5.414352416992188,1.5674281120300293,7.216058254241943,11,-2.148369855423361,-2.8085656527356493,0.38514422928621683
5kr9.pdb,6.5465192794799805,1.4217655658721924,7.914740085601807,16,0.062208941067815084,0.7198214546960425,0.2517982040173195
5kra.pdb,5.974883079528809,1.827786445617676,7.8712639808654785,14,-1.6429144349197147,0.5602948542131044,0.24504556858590143
5krc.pdb,6.562190055847168,1.4220640659332275,7.888632297515869,16,0.08181949767575505,0.6202610218658325,0.3297447581260249
5krf.pdb,6.484153747558594,1.4194490909576416,7.778839588165283,16,-0.05718161072575463,0.10540692177611985,0.4473227451986531
5krh.pdb,6.486030101776123,1.4185099601745603,7.921196460723877,15,-0.026529799042176932,0.7050214362213906,0.1469411201860466
5kri.pdb,5.751436233520508,1.5983998775482178,7.960442543029785,12,-1.5370833166657996,0.571530243953499,-0.6602767657550885
5krj.pdb,6.3678083419799805,1.4197999238967896,7.919485092163086,14,-0.2174145653828676,0.6231307640509866,-0.014288388876006825
5krk.pdb,6.385185718536377,1.4063514471054075,7.939080715179443,15,-0.1601167765146652,0.7038487038753094,-0.05470355009230627
5krl.pdb,6.4184651374816895,1.4295496940612793,7.90997314453125,15,-0.15747366711878538,0.6250003078636681,0.0944833392245925
5krm.pdb,6.556240558624268,1.4441968202590942,7.941888332366943,16,0.039076395210805706,0.8619383576588949,0.24724300738147187
5kro.pdb,6.4130048751831055,1.4150851964950562,7.990646362304687,15,-0.12344673516043646,0.9472060544983487,-0.10929898002247525
5n10.pdb,5.883394241333008,1.4230095148086548,7.57668399810791,8,-1.0564988134070443,-1.1280622958910338,0.03236809645147207
5t0x.pdb,5.136347770690918,2.047964811325073,7.68794059753418,7,-3.4374049954144863,-0.5381929617338367,-0.1675033126300623
5t1z.pdb,6.348350524902344,1.3786137104034424,7.973579406738281,14,-0.1586292431977022,0.7987422369383378,-0.22825965957941724
5t92.pdb,6.216952800750732,1.354801893234253,7.88221263885498,13,-0.33804334919268997,0.30679563460761244,-0.26214367456879273
5t97.pdb,6.179532051086426,1.3452118635177612,7.854197978973389,13,-0.3840507442782691,0.15559599872305838,-0.2724771438402027
5tld.pdb,5.90973424911499,1.3997550010681152,7.672308444976807,12,-0.9521122593019313,-0.7309462910516324,-0.17347267299821137
5tlf.pdb,6.440061569213867,1.4031647443771362,7.982625961303711,15,-0.0587294127659099,0.9193489496844458,-0.07489566007162658
5tlg.pdb,6.252457141876221,1.349944233894348,7.975371360778809,13,-0.2552232401396303,0.7171164865519191,-0.41767610743363154
5tll.pdb,6.585053443908691,1.4164230823516846,7.97042179107666,16,0.14398589731024716,0.9738459855655813,0.1790467066767112
5tlm.pdb,5.860141277313232,1.507392406463623,7.917472839355469,13,-1.1953596914945253,0.3728870733406312,-0.5746135101769568
5tlo.pdb,5.64815616607666,1.4747167825698853,7.780799865722656,11,-1.4940004917059815,-0.37008015939012995,-0.6419692381654915
5tlp.pdb,4.97576379776001,1.9018738269805908,7.823386669158935,11,-3.3847986714222884,-0.21166233142366764,-0.9364309031704084
5tlt.pdb,6.350023746490479,1.3781085014343262,7.913537979125977,14,-0.1658874790532825,0.5465603640393801,-0.09965922824092675
5tlu.pdb,6.07103967666626,1.386069655418396,7.83893346786499,12,-0.6386966325077137,0.060964433740930635,-0.3221458334073303
5tlv.pdb,6.517564296722412,1.4388020038604736,7.811316967010498,16,-0.03568771933441206,0.28221168481573083,0.4595925520469361
5tlx.pdb,6.587667942047119,1.4346786737442017,7.989678859710693,17,0.11621759195017281,1.074159861208031,0.1738593229346135
5tly.pdb,6.530011177062988,1.4268677234649658,7.997868061065674,16,0.041138640283533756,1.0640913115880097,0.06138022684939103
