pdb,radius,compactness,openness,n_pocket_res
5krj.pdb,6.3678083419799805,1.4197999238967896,7.919485092163086,14
5krk.pdb,6.385185718536377,1.4063514471054077,7.939080715179443,15
5krl.pdb,6.4184651374816895,1.4295496940612793,7.90997314453125,15
5krm.pdb,6.556240558624268,1.4441968202590942,7.941888332366943,16
5kro.pdb,6.4130048751831055,1.4150851964950562,7.9906463623046875,15
5n10.pdb,5.883394241333008,1.4230095148086548,7.57668399810791,8
5t0x.pdb,5.136347770690918,2.0479648113250732,7.68794059753418,7
5t1z.pdb,6.348350524902344,1.3786137104034424,7.973579406738281,14
5t92.pdb,6.216952800750732,1.354801893234253,7.8822126388549805,13
5t97.pdb,6.179532051086426,1.3452118635177612,7.854197978973389,13
5tld.pdb,5.90973424911499,1.3997550010681152,7.672308444976807,12
5tlf.pdb,6.440061569213867,1.4031647443771362,7.982625961303711,15
5tlg.pdb,6.252457141876221,1.3499442338943481,7.975371360778809,13
5tll.pdb,6.585053443908691,1.4164230823516846,7.97042179107666,16
5tlm.pdb,5.860141277313232,1.507392406463623,7.917472839355469,13
5tlo.pdb,5.64815616607666,1.4747167825698853,7.780799865722656,11
5tlp.pdb,4.97576379776001,1.9018738269805908,7.8233866691589355,11
5tlt.pdb,6.3500237464904785,1.3781085014343262,7.913537979125977,14
5tlu.pdb,6.07103967666626,1.386069655418396,7.83893346786499,12
5tlv.pdb,6.517564296722412,1.4388020038604736,7.811316967010498,16
5tlx.pdb,6.587667942047119,1.4346786737442017,7.989678859710693,17
5tly.pdb,6.530011177062988,1.4268677234649658,7.997868061065674,16
5tm1.pdb,6.544326305389404,1.4221935272216797,7.938114166259766,16
5tm2.pdb,5.526198863983154,1.6333850622177124,7.509095191955566,12
5tm3.pdb,6.146085262298584,1.3365941047668457,7.445094108581543,12
5tm4.pdb,6.4227800369262695,1.279463768005371,7.830045700073242,11
5tm5.pdb,6.434802532196045,1.4282832145690918,7.987646102905273,15
5tm6.pdb,6.386961936950684,1.4299191236495972,7.864140033721924,16
5tm7.pdb,6.062594890594482,1.3201887607574463,7.878195285797119,11
5tm8.pdb,5.929469108581543,1.2518787384033203,7.803553104400635,10
5tm9.pdb,6.320630073547363,0.8936047554016113,7.812821388244629,10
5tml.pdb,6.4235076904296875,1.392890214920044,7.965900421142578,14
5tmm.pdb,5.779320240020752,1.3995193243026733,7.451910972595215,12
5tmo.pdb,6.298309326171875,1.353283166885376,7.929501533508301,13
5tmq.pdb,6.245794296264648,1.3640011548995972,7.922426700592041,13
5tmr.pdb,6.549349308013916,1.4475027322769165,7.98531436920166,16
5tms.pdb,6.406829357147217,1.4439119100570679,7.94470739364624,15
5tmt.pdb,6.424635410308838,1.4229552745819092,7.99239444732666,14
5tmu.pdb,6.322505474090576,1.4095507860183716,7.8409318923950195,14
5tmv.pdb,6.292900562286377,1.3762184381484985,7.714069366455078,14
5tmw.pdb,5.9633917808532715,1.2260076999664307,7.862452507019043,10
5tmz.pdb,6.51229190826416,1.4367492198944092,7.903424263000488,16
5tn1.pdb,6.474520683288574,1.4196187257766724,7.953887939453125,15
5tn3.pdb,6.4513163566589355,1.4414952993392944,7.682392597198486,16
5tn4.pdb,6.528765678405762,1.428057074546814,7.938468933105469,16
5tn5.pdb,6.614667892456055,1.4225443601608276,7.9639716148376465,16
5tn6.pdb,6.565315246582031,1.4556143283843994,7.899024963378906,16
5tn7.pdb,4.868494987487793,1.8659918308258057,7.56965970993042,11
5tn8.pdb,6.480667591094971,1.42231023311615,7.85275411605835,16
5u2b.pdb,6.327357769012451,1.2899788618087769,7.859928131103516,12
5u2d.pdb,6.296957969665527,1.3979949951171875,7.756927490234375,14
5ufw.pdb,6.349395751953125,1.376899242401123,7.875024318695068,14
5ufx.pdb,6.3786301612854,1.3726756572723389,7.877079963684082,14
5w9c.pdb,7.085537433624268,0.42817437648773193,7.68472957611084,3
5w9d.pdb,6.369979381561279,1.3633345365524292,7.981723785400391,14
5wgd.pdb,6.239963054656982,1.3692338466644287,7.835669994354248,13
5wgq.pdb,6.530980587005615,1.4275809526443481,7.934086322784424,16
6b0f.pdb,5.641157150268555,1.2944225072860718,7.69988489151001,12
6c42.pdb,6.351410865783691,1.3682955503463745,7.874320983886719,14
6cbz.pdb,5.6943464279174805,1.7080566883087158,7.74363899230957,11
6chw.pdb,6.640618801116943,1.147597312927246,7.854808330535889,10
6chz.pdb,6.247668266296387,1.1984373331069946,7.61962890625,8
6czn.pdb,6.318580627441406,1.39711332321167,7.98028039932251,14
6d0f.pdb,6.30413293838501,1.3917019367218018,7.944289684295654,14
6hhp.pdb,6.224713325500488,2.092010259628296,7.799518585205078,5
6hkb.pdb,5.762908458709717,1.8660253286361694,7.628181457519531,4
6hkf.pdb,6.239535331726074,1.9420071840286255,7.763774871826172,5
6hmu.pdb,6.200623035430908,1.917112946510315,7.4221954345703125,5
6iar.pdb,6.635289192199707,0.9918374419212341,7.844327449798584,7
6owc.pdb,6.155378341674805,1.2801358699798584,7.763014316558838,12
6pfm.pdb,6.1159563064575195,1.2502208948135376,7.819124221801758,11
6pit.pdb,5.4426140785217285,1.8745508193969727,7.774203300476074,12
6psj.pdb,6.369931221008301,1.3793954849243164,7.923593044281006,14
6sbo.pdb,6.293027400970459,1.3870724439620972,7.9582037925720215,13
6sq0.pdb,6.125233173370361,1.3805644512176514,7.9432291984558105,13
6suo.pdb,6.374818325042725,1.3689789772033691,7.8860554695129395,14
6tjm.pdb,6.248289108276367,0.7580893039703369,7.372091293334961,5
6tl3.pdb,6.700103759765625,0.5941191911697388,7.74665641784668,6
6v87.pdb,6.467396259307861,1.3426320552825928,7.940438747406006,14
6v8t.pdb,6.382174015045166,1.3747600317001343,7.9059062004089355,14
6vgh.pdb,6.336511135101318,1.3668173551559448,7.924190044403076,14
6vjd.pdb,7.415410995483398,0.371503621339798,7.90749979019165,4
6vpf.pdb,5.701756477355957,1.387955665588379,7.251552104949951,7
6zoq.pdb,6.375400066375732,1.3649836778640747,7.929226398468018,14
6zor.pdb,6.2219061851501465,1.3515950441360474,7.962420463562012,13
6zos.pdb,6.359394550323486,1.3657193183898926,7.937857627868652,14
7b9m.pdb,6.284396171569824,1.968259334564209,7.994099140167236,5
7b9r.pdb,5.847339630126953,2.4216468334198,7.971356391906738,4
7b9t.pdb,6.52192497253418,1.9516780376434326,7.862551689147949,6
7ba3.pdb,6.251578330993652,2.2416863441467285,7.855022430419922,5
7ba5.pdb,6.702457904815674,1.993599534034729,7.912627696990967,7
7ba6.pdb,6.205368995666504,1.96671462059021,7.92357063293457,5
7ba7.pdb,6.486576080322266,1.969138503074646,7.990508556365967,6
7ba8.pdb,5.999208927154541,1.977015495300293,7.639616012573242,4
7ba9.pdb,6.566810131072998,2.1018593311309814,7.993147373199463,6
7baa.pdb,6.397521018981934,2.102482795715332,7.991803169250488,5
7bab.pdb,6.253598690032959,1.7443944215774536,7.789088726043701,5
7jhd.pdb,6.486459732055664,1.4540951251983643,7.931148052215576,16
7kbs.pdb,6.2838521003723145,1.3596813678741455,7.969107151031494,13
7n9o.pdb,7.4022088050842285,0.2621023952960968,7.6942009925842285,3
7ndo.pdb,5.267088413238525,1.7507007122039795,7.053905963897705,12
7nel.pdb,5.576834678649902,1.8089327812194824,7.973188877105713,14
7nfb.pdb,5.725240230560303,1.2784353494644165,7.558283805847168,13
7nfw.pdb,6.236856460571289,1.2761950492858887,7.79067850112915,6
7niz.pdb,6.919107437133789,0.37277546525001526,7.389082908630371,4
7opw.pdb,6.126857757568359,1.3510633707046509,7.917373180389404,14
7oq7.pdb,6.881221771240234,0.684959888458252,7.521480083465576,5
7oq8.pdb,6.848401069641113,0.9704167246818542,7.739078044891357,5
7pwt.pdb,6.546426773071289,0.9270520806312561,7.718657970428467,6
7pwz.pdb,6.381435394287109,0.8639535307884216,7.627382278442383,5
7qvj.pdb,6.3739094734191895,1.362526774406433,7.993984699249268,14
7qvl.pdb,6.39001989364624,1.3915542364120483,7.942594528198242,14
7r62.pdb,6.37249231338501,1.1648714542388916,7.7503461837768555,10
7rke.pdb,6.4618730545043945,1.3791029453277588,7.986373424530029,14
7rnm.pdb,6.398289203643799,1.3781076669692993,7.864023685455322,14
7rrz.pdb,6.528222560882568,0.765649139881134,7.561605930328369,6
7rs0.pdb,6.112040996551514,0.8164888620376587,7.639701843261719,7
7rs1.pdb,6.292230606079102,0.6324446797370911,7.162929534912109,6
7rs2.pdb,6.886096477508545,0.782582700252533,7.887725353240967,6
7rs7.pdb,6.897376537322998,1.0043379068374634,7.973923683166504,8
7rs8.pdb,6.682458400726318,1.0179954767227173,7.581517219543457,9
7rs9.pdb,7.051697254180908,0.8623654246330261,7.8775787353515625,7
7sfo.pdb,6.452167987823486,1.384720802307129,7.9464311599731445,14
7t2x.pdb,6.318727493286133,1.342457890510559,7.655445098876953,12
7te7.pdb,6.885964393615723,0.8812071681022644,7.956281661987305,7
7uj7.pdb,6.8412346839904785,0.7531781196594238,7.849123001098633,6
7uj8.pdb,6.46820068359375,1.342926025390625,7.954165458679199,14
7ujc.pdb,6.30458927154541,1.3536943197250366,7.851970672607422,13
7ujf.pdb,7.2930450439453125,0.28666356205940247,7.656919956207275,3
7ujm.pdb,7.376374244689941,0.3569852113723755,7.910511493682861,4
7ujo.pdb,5.736161231994629,1.4811627864837646,7.812901020050049,8
7ujw.pdb,5.970182418823242,0.57889723777771,6.549079895019531,2
7ujy.pdb,7.280569553375244,0.3582572638988495,7.830514430999756,4
7wnv.pdb,7.021454334259033,0.6796848773956299,7.8369832038879395,6
7y8f.pdb,6.5650482177734375,1.2735540866851807,7.950328826904297,13
7y8g.pdb,5.543336391448975,1.1942657232284546,6.943273067474365,12
7ymk.pdb,6.4238739013671875,1.2515618801116943,7.819586753845215,10
8afn.pdb,6.31135892868042,0.9549041986465454,7.856273651123047,5
8ai0.pdb,6.772464752197266,1.0616744756698608,7.916508197784424,8
8alr.pdb,6.002594470977783,1.6156915426254272,7.6307759284973145,5
8alt.pdb,6.442419528961182,1.6468197107315063,7.912293434143066,5
8alv.pdb,6.5113935470581055,0.8705751299858093,7.546227931976318,5
8alw.pdb,6.116948127746582,1.7942520380020142,7.726722717285156,5
8am7.pdb,6.674026966094971,1.5892993211746216,7.973761081695557,6
8anf.pdb,6.8156232833862305,1.2468032836914062,7.972438812255859,8
8aoy.pdb,6.884799003601074,1.26912260055542,7.949965953826904,8
8aps.pdb,6.514947414398193,1.4756776094436646,7.969489097595215,5
8aq1.pdb,6.783267498016357,1.4482148885726929,7.978933811187744,6
8aqc.pdb,6.07292366027832,1.2404152154922485,7.704866409301758,5
8aqe.pdb,6.40217399597168,1.615903377532959,7.827882289886475,6
8aqz.pdb,6.74716329574585,1.3715635538101196,7.865634918212891,7
8ar4.pdb,6.138000011444092,1.6405659914016724,7.8960771560668945,4
8ar5.pdb,6.951873302459717,1.4075027704238892,7.993704795837402,8
8arg.pdb,6.650418758392334,1.5514763593673706,7.950405597686768,6
8aro.pdb,6.224551200866699,1.5507090091705322,7.595309257507324,5
8arq.pdb,6.850281238555908,1.4165775775909424,7.921783447265625,7
8arr.pdb,6.491845607757568,1.7837759256362915,7.920525074005127,6
8arw.pdb,6.429557800292969,1.5741283893585205,7.85280704498291,5
8arx.pdb,6.511600971221924,1.4761720895767212,7.936995506286621,6
8ary.pdb,6.315512657165527,1.5106538534164429,7.877624988555908,5
8arz.pdb,6.564724445343018,1.5395723581314087,7.99296236038208,6
8as1.pdb,6.050510883331299,1.6573108434677124,7.698324203491211,5
8at9.pdb,5.904189586639404,1.3009419441223145,7.305616855621338,5
8atp.pdb,6.411704063415527,1.6395692825317383,7.975884914398193,5
8au2.pdb,6.919707298278809,1.3347176313400269,7.986005783081055,8
8aus.pdb,6.152440071105957,1.4922685623168945,7.571486949920654,5
8auy.pdb,6.791956424713135,1.2102947235107422,7.85977029800415,7
8av3.pdb,5.912446975708008,1.4592087268829346,7.5272722244262695,4
8av4.pdb,6.599080562591553,1.510853886604309,7.957233428955078,6
8av7.pdb,6.721268653869629,0.7721217274665833,7.970503807067871,7
8av8.pdb,6.472798824310303,1.5819673538208008,7.940106391906738,7
8awg.pdb,6.553508758544922,1.5215554237365723,7.915045738220215,6
8axe.pdb,6.296597003936768,1.4695028066635132,7.933396339416504,6
8axu.pdb,6.572237491607666,1.554941177368164,7.937096118927002,6
8aze.pdb,6.5673370361328125,1.567467212677002,7.913394927978516,6
8b39.pdb,6.474754333496094,1.6949117183685303,7.978183269500732,5
8bwj.pdb,6.978363990783691,0.6330770254135132,7.6724114418029785,5
8bwx.pdb,7.046175479888916,0.6399033069610596,7.901370048522949,4
8bwz.pdb,6.972287178039551,0.5953183174133301,7.528753757476807,5
8bx0.pdb,7.173252105712891,0.9590722918510437,7.964529037475586,6
8bx3.pdb,6.751936435699463,0.9128512740135193,7.605593681335449,5
8bx4.pdb,7.0437822341918945,0.9491147994995117,7.872896194458008,5
8bxi.pdb,6.840175151824951,0.8149596452713013,7.547618865966797,6
8bxm.pdb,6.7603607177734375,0.8329561948776245,7.898914337158203,6
8bxn.pdb,7.290821552276611,0.5333148837089539,7.821437835693359,6
8bxo.pdb,7.281354904174805,0.5019506812095642,7.849066734313965,6
8bxq.pdb,7.270992279052734,0.5117586255073547,7.811789512634277,6
8bxs.pdb,6.7176899909973145,0.5371770858764648,7.1827311515808105,3
8by9.pdb,7.291431427001953,0.5448078513145447,7.938019752502441,6
8byb.pdb,6.79469633102417,0.6198296546936035,7.28039026260376,3
8byc.pdb,6.828564167022705,0.7534893751144409,7.785830020904541,4
8byd.pdb,6.609780788421631,0.5662865042686462,7.085246562957764,3
8bye.pdb,6.742856502532959,0.658234179019928,7.358393669128418,3
