UMAP1,UMAP2
18.290714,1.4094764
19.711834,2.856841
19.182995,2.5681143
19.585144,3.3644485
20.450287,2.6729274
20.323572,3.1865938
19.673485,2.089087
21.488539,1.9778928
21.813606,1.4619458
21.076372,2.2431188
20.824076,1.4624033
20.039286,3.5964634
20.438532,2.0025651
18.948185,1.9146398
17.902582,1.7751453
17.905241,0.9079544
18.408613,0.95053345
17.688667,1.2602826
21.13629,2.8203647
22.77703,2.2966456
22.051504,2.2602096
22.461763,2.5844646
22.349358,1.9281772
22.565182,1.7686799
